Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,
PG,Russell Westbrook,11900,Tor@OKC 08:00PM ET,59.821,OKC,5.02697479
PG/SG,James Harden,11500,Hou@SA 09:30PM ET,62.357,Hou,5.422347826
SF/PF,Kevin Durant,9500,Dal@GS 10:30PM ET,50.393,GS,5.304526316
SF,Kawhi Leonard,9200,Hou@SA 09:30PM ET,44.143,SA,4.798152174
PG,Damian Lillard,9100,Por@LAC 10:30PM ET,48.643,Por,5.345384615
PG,Stephen Curry,9000,Dal@GS 10:30PM ET,43.25,GS,4.805555556
PG,Chris Paul,8700,Por@LAC 10:30PM ET,47.571,LAC,5.467931034
PG,John Wall,8600,Bos@Was 07:00PM ET,47.5,Was,5.523255814
C,Karl-Anthony Towns,8500,Min@Orl 07:00PM ET,41.6,Min,4.894117647
SF,Paul George,8400,Phi@Ind 07:00PM ET,37.107,Ind,4.4175
PF,Blake Griffin,8200,Por@LAC 10:30PM ET,40.643,LAC,4.956463415
SG,DeMar DeRozan,8000,Tor@OKC 08:00PM ET,44.542,Tor,5.56775
PF/C,Draymond Green,7900,Dal@GS 10:30PM ET,41.75,GS,5.284810127
C,Andre Drummond,7800,Det@Pho 09:00PM ET,39.143,Det,5.018333333
PF,Paul Millsap,7700,Chi@Atl 07:30PM ET,39.583,Atl,5.140649351
PG,Isaiah Thomas,7700,Bos@Was 07:00PM ET,42.333,Bos,5.497792208
SF,Carmelo Anthony,7600,Bkn@NY 07:00PM ET,36.167,NY,4.758815789
C,Dwight Howard,7500,Chi@Atl 07:30PM ET,40.75,Atl,5.433333333
PG,Kyle Lowry,7400,Tor@OKC 08:00PM ET,36.458,Tor,4.926756757
PF/C,LaMarcus Aldridge,7300,Hou@SA 09:30PM ET,31.125,SA,4.26369863
SG/SF,Jimmy Butler,7200,Chi@Atl 07:30PM ET,34.464,Chi,4.786666667
PF,Kristaps Porzingis,7200,Bkn@NY 07:00PM ET,32.542,NY,4.519722222
PF/C,Myles Turner,7100,Phi@Ind 07:00PM ET,33.286,Ind,4.688169014
PG,Kemba Walker,7000,Uta@Cha 07:00PM ET,40.042,Cha,5.720285714
PG/SG,C.J. McCollum,7000,Por@LAC 10:30PM ET,35.464,Por,5.066285714
SF/PF,Harrison Barnes,6900,Dal@GS 10:30PM ET,31.625,Dal,4.583333333
SF,Gordon Hayward,6800,Uta@Cha 07:00PM ET,35.25,Uta,5.183823529
SG/SF,Devin Booker,6800,Det@Pho 09:00PM ET,31.583,Pho,4.644558824
SF,T.J. Warren,6800,Det@Pho 09:00PM ET,35.964,Pho,5.288823529
PG/SG,J.J. Barea,6700,Dal@GS 10:30PM ET,31.375,Dal,4.682835821
PG/SG,George Hill,6700,Uta@Cha 07:00PM ET,34.643,Uta,5.170597015
PG,Eric Bledsoe,6600,Det@Pho 09:00PM ET,32.786,Pho,4.967575758
SG,Avery Bradley,6500,Bos@Was 07:00PM ET,39.75,Bos,6.115384615
C,Rudy Gobert,6500,Uta@Cha 07:00PM ET,29.188,Uta,4.490461538
C,Jonas Valanciunas,6400,Tor@OKC 08:00PM ET,30.75,Tor,4.8046875
C,Marcin Gortat,6400,Bos@Was 07:00PM ET,32.417,Was,5.06515625
PF/C,Gorgui Dieng,6400,Min@Orl 07:00PM ET,29.85,Min,4.6640625
PG,Jeremy Lin,6400,Bkn@NY 07:00PM ET,32.35,Bkn,5.0546875
C,Brook Lopez,6400,Bkn@NY 07:00PM ET,28.4,Bkn,4.4375
C,DeAndre Jordan,6400,Por@LAC 10:30PM ET,28.357,LAC,4.43078125
C,Al Horford,6300,Bos@Was 07:00PM ET,30.667,Bos,4.867777778
SG,Zach LaVine,6300,Min@Orl 07:00PM ET,28.45,Min,4.515873016
PG,Derrick Rose,6300,Bkn@NY 07:00PM ET,31.625,NY,5.01984127
SG,Dwyane Wade,6200,Chi@Atl 07:30PM ET,30.25,Chi,4.879032258
SG,Klay Thompson,6200,Dal@GS 10:30PM ET,28.036,GS,4.521935484
C,Nikola Vucevic,6200,Min@Orl 07:00PM ET,32.464,Orl,5.236129032
PG,Jeff Teague,6200,Phi@Ind 07:00PM ET,27.75,Ind,4.475806452
SF/PF,Markieff Morris,6100,Bos@Was 07:00PM ET,28.5,Was,4.672131148
