Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,to/g,2d/g,3d/g,pV,3V,rV,aV,sV,bV,toV,2dV,3dV
3.358755503,Russell Westbrook,,OKC,PG,71,36,30.64070423,1.904507042,9.516056338,10.92,1.95,0.311971831,4.991971831,0.58,0.2842,3.641239397,1.472721613,2.127059222,4.718759156,2.707450554,-0.411697074,-4.748191029,3.594132289,17.1273254
2.050823365,James Harden,,HOU,SG/SF,75,37,28.12533333,3.220933333,6.783333333,11.02293333,1.695866667,0.5396,4.625066667,0.65,0.0715,3.200809564,3.251999784,1.028522746,4.773813796,2.12934697,0.052593023,-4.274571653,4.086989371,4.20790668
1.756482769,LeBron James,,CLE,SF/PF,68,36,24.74985294,1.173382353,8.4525,7.864558824,1.322941176,0.661470588,3.527941176,0.38,0.1178,2.609778526,0.484535485,1.699516647,3.084534255,1.281014485,0.301170813,-2.858347677,2.185969197,7.02017319
1.562505974,Anthony Davis,,NOR,PF/C,63,36,26.15238095,0.533968254,10.90793651,2.120952381,1.514920635,2.575555556,1.96952381,0.58,0.0058,2.855354708,-0.379694861,2.686585794,0.012524641,1.717730171,4.205304023,-0.846665277,3.594132289,0.21728228
1.522997684,Hassan Whiteside,,MIA,C,68,31,20.79205882,0,13.54441176,0.569558824,0.696176471,3.544264706,2.151911765,0.8,0,1.916787043,-1.101404891,3.746431315,-0.817249469,-0.144752523,6.18116697,-1.082100692,5.14311169,-0.135010285
1.487581022,Chris Paul,,LAC,PG,69,32,19.05608696,1.743478261,4.933333333,10.4,2.333333333,0.2,2.6,0.58,0.0174,1.612826382,1.255075553,0.284835049,4.440633379,3.579458844,-0.640084503,-1.660515201,3.594132289,0.92186741
1.394182438,Giannis Antetokounmpo,,MIL,PG/SF,74,36,23.15689189,0.570540541,8.464459459,6.682432432,1.336486486,1.707702703,2.821486486,0.38,0.0418,2.330858399,-0.330263858,1.70432427,2.45226537,1.311827414,2.435156301,-1.946420939,2.185969197,2.403925787
1.380817365,John Wall,Questionable - possible suspension,WAS,PG,65,36,20.76707692,1.362615385,5.271692308,10.46923077,1.707692308,0.742461538,4.158,0.58,0.0406,1.912412828,0.740302332,0.420853106,4.477661959,2.156247989,0.466366958,-3.671658843,3.594132289,2.33103767
1.333228634,Draymond Green,,GSW,SF/PF,69,33,12.68318841,1.017826087,9.581014493,6.435072464,1.644492754,1.573043478,2.788550725,0.3724,0.040964,0.496961259,0.274286062,2.153171968,2.319963095,2.012481375,2.160493703,-1.903905825,2.132459,2.353147065
1.319033987,DeMarcus Cousins,,SAC,PF/C,64,35,24.9046875,0.9078125,11.27,3.36,1.68,1.47,3.78,0.65,0.013,2.636889343,0.125591999,2.832132911,0.675238258,2.09325341,1.950317314,-3.183717703,4.086989371,0.654610981
